Person-ID,"Label [generiert, nicht manuell berarbeiten]",Familienname,Vorname,Geburtsdatum,Sterbedatum,GND,Kurzbeschreibung,Kategorie,Quellen,Bemerkungen
person_034,"Bartas, Guillaume de Salluste Du  (1544-1590)",Bartas,Guillaume de Salluste Du ,1544,1590,118680951,Französischer Dichter,Historische Person,https://de.wikipedia.org/wiki/Guillaume_de_Saluste_du_Bartas,
person_035,"Gamon, Christophe de (1574-1621)",Gamon,Christophe de,1574,1621,1055548807,Französischer Dichter,Historische Person,,
person_036,"Werder, Diederich von dem (1584-1657)",Werder,Diederich von dem,1584,1657,118767038,"(Kirchenlied-)Dichter, Diplomat, Übersetzer, Mitglied der Fruchtbringenden Gesellschaft",Historische Person,https://de.wikipedia.org/wiki/Diederich_von_dem_Werder,
person_037,"Lund, Zacharias (1608-1667)",Lund,Zacharias,1608,1667,121448231,"Deutschsprachiger Dichter, klassischer Philologe aus Dänemark, Bibliothekar",Historische Person,https://de.wikipedia.org/wiki/Zacharias_Lund,
person_038,"Rist, Johann (1607-1667)",Rist,Johann,1607,1667,118745425,"Deutscher Dichter und evangelisch-lutherischer Theologie, Mitglied der Fruchtbringenden Gesellschaft",Historische Person,https://de.wikipedia.org/wiki/Johann_Rist,
person_039,"Steffen, Hans Jakob (1623-1684)",Steffen,Hans Jakob,1623,1684,1089514271,Pfarrer in Weinfelden,Historische Person,,
person_040,"Amman, Johann Ulrich  (1633-1680)",Amman,Johann Ulrich ,1633,1680,11647761X,Pfarrer,Historische Person,,
person_041,"Venus,  (-)",Venus,,,,11876800X,"römische Göttin der Liebe, Schönheit und des Begehrens",Mythologische Figur,https://de.wikipedia.org/wiki/Venus_(Mythologie),
person_042,"Cupido,  (-)",Cupido,,,,118677500,römischer Gott der Liebe,Mythologische Figur,https://de.wikipedia.org/wiki/Amor_(Mythologie),
person_043,"
,  (519 v. Chr.-465 v. Chr.)","
",,519 v. Chr.,465 v. Chr.,118808109,"Persischer Herrscher, ägyptischer Pharao und achämenidischer Grosskönig",Historische Person,https://de.wikipedia.org/wiki/Xerxes_I.,
person_044,"Paulus von Tarsus,  (-)",Paulus von Tarsus,,,,118641549,"Apostel, Heiliger, Missionar",Biblische Figur,https://de.wikipedia.org/wiki/Paulus_von_Tarsus,
person_045,"Phöbus,  (-)",Phöbus,,,,,Beiname des griechischen Gottes Apollo: Griechischer Gott des Lichts und der Künste,Mythologische Figur,,
person_046,"Neidhart,  (-)",Neidhart,,,,,"Eine zum Appellativ gewordener Eigenname, personizifierter Neid",,https://www.dwds.de/wb/dwb/neidhard,
person_047,"Grimmefol,  (-)",Grimmefol,,,,,Allegorische Figur,,,
person_048,"Pegasus/Pegasos,  (-)",Pegasus/Pegasos,,,,1177950278,Geflügeltes Pferd in der griechischen Mythologie,Mythologische Figur,https://de.wikipedia.org/wiki/Pegasos_(Mythologie),
person_049,"David,  (-)",David,,,,118523929,"Biblische Figur, König von Israel",Biblische Figur,https://de.wikipedia.org/wiki/David,
person_050,"Fama,  (-)",Fama,,,,1239081006,Römische Gottheit des Ruhms und Gerüchts,Mythologische Figur,,
person_051,"Tasso, Torquato (1544-1595)",Tasso,Torquato,1544,1595,118620916,Italienischer Dichter,Historische Person,https://de.wikipedia.org/wiki/Torquato_Tasso,
person_052,"Saul,  (-)",Saul,,,,118605836,Erster König von Isreal,Biblische Figur,https://de.wikipedia.org/wiki/Saul,
person_053,"Absalom/Abschalom,  (-)",Absalom/Abschalom,,,,120527057,Dritter Sohn von König David und Halbbruder von Salomon,Biblische Figur,https://de.wikipedia.org/wiki/Abschalom,
person_054,"Abimelech/Achis/Achisch,  (-)",Abimelech/Achis/Achisch,,,,1170280579,Philisterkönig von Gath,Biblische Figur,,
person_055,"Abraham,  (-)",Abraham,,,,118500201,Der erste der drei Erzväter des Volkes Israel,Biblische Figur,https://de.wikipedia.org/wiki/Abraham,
person_056,"Aaron,  (-)",Aaron,,,,118500031,"Bruder von Moses, erster Hohepriester der Israeliten",Biblische Figur,https://de.wikipedia.org/wiki/Aaron_(biblische_Person),
person_057,"Asaf/Asaph,  (-)",Asaf/Asaph,,,,118650564,Gesangsmeister Davids,Biblische Figur,https://de.wikipedia.org/wiki/Asaf,
person_058,"Doëg,  (-)",Doëg,,,,1221562711,"Aus dem Stamm der Edomiter, diente im Heer König Sauls",Biblische Figur,https://de.wikipedia.org/wiki/Doëg,
person_059,"Ezechias/Hiskija,  (-)",Ezechias/Hiskija,,,,118531611,König von Juda,Biblische Figur,https://de.wikipedia.org/wiki/Hiskija,
person_060,"Jakob,  (-)",Jakob,,,,118556746,"auch Israel genannt, Enkel Abrahams",Biblische Figur,,
person_061,"Adam,  (-)",Adam,,,,118646877,Biblische Figur,Biblische Figur,https://de.wikipedia.org/wiki/Adam_und_Eva,
person_062,"Eva,  (-)",Eva,,,,118531441,Biblische Figur,Biblische Figur,https://de.wikipedia.org/wiki/Adam_und_Eva,
person_063,"Barrabas/Barabbas,  (-)",Barrabas/Barabbas,,,,118963821,Gefangener,Biblische Figur,https://de.wikipedia.org/wiki/Barabbas,
person_064,"Kajaphas,  (-)",Kajaphas,,,,129446424,Hohepriester von Jerusalem,Biblische Figur,https://de.wikipedia.org/wiki/Kajaphas,
person_065,"Judas Iskariot,  (-)",Judas Iskariot,,,,118558536,Apostel,Biblische Figur,https://de.wikipedia.org/wiki/Judas_Iskariot,
person_066,"Gabriel,  (-)",Gabriel,,,,119372207,Erzengel,Biblische Figur,https://de.wikipedia.org/wiki/Erzengel_Gabriel,
person_067,"Herodes,  (-)",Herodes,,,,118549847,König von Judäa,Biblische Figur,https://de.wikipedia.org/wiki/Herodes,
person_068,"Maria von Nazaret,  (-)",Maria von Nazaret,,,,118640909,Mutter von Jesus,Biblische Figur,https://de.wikipedia.org/wiki/Maria_(Mutter_Jesu),
person_069,"Nikodemus,  (-)",Nikodemus,,,,118588001,"Wird oft als ""Führer der jüdischen Bevölkerung"" bezeichnet",Biblische Figur,https://de.wikipedia.org/wiki/Nikodemus,
person_070,"Pilatus, Pontius (-)",Pilatus,Pontius,,,118792172,Römischer Präfekt von Judäa,Biblische Figur,https://de.wikipedia.org/wiki/Pontius_Pilatus,
person_071,"Titus,  (14609-29842)",Titus,,30.12.39,13.9.81,118622951,Zweiter römischer Kaiser der flavischen Dynastie,Historische Person,https://de.wikipedia.org/wiki/Titus,
person_072,"Simon Petrus,  (-)",Simon Petrus,,,,118593323,Apostel,Biblische Figur,https://de.wikipedia.org/wiki/Simon_Petrus,
person_073,"Johannes,  (-)",Johannes,,,,118557815,"Evangelist, Apostel",Biblische Figur,https://de.wikipedia.org/wiki/Johannes_(Apostel),
person_074,"Jakob/Jakobus der Ältere,  (-)",Jakob/Jakobus der Ältere,,,,118556800,"Apostel, Heiliger",Biblische Figur,https://de.wikipedia.org/wiki/Jakobus_der_Ältere,
person_075,"Jona/Jonas,  (-)",Jona/Jonas,,,,118639951,Prophet im Alten Testament,Biblische Figur,https://de.wikipedia.org/wiki/Jona,
person_076,"Joseph,  (-)",Joseph,,,,118639986,Sohn des Erzvaters Jakob,Biblische Figur,,
person_077,"Saul, dessen Sohn,  (-)","Saul, dessen Sohn",,,,,Biblische Figur,Biblische Figur,,
